SampleID	geneID	database	pathway_name	nonhost	count	props
IA66.10.mos	4Hbt	butyrate_20180612	4aminobutyrate	9369060	711	7.58880826891919e-05
IA66.10.mos	AbfD-Isom	butyrate_20180612	4aminobutyrate	9369060	633	6.75628077950189e-05
IA66.10.mos	AbfH	butyrate_20180612	4aminobutyrate	9369060	190	2.02795157678572e-05
IA66.10.mos	AtoA	butyrate_20180612	Lysine	9369060	175	1.86785013651316e-05
IA66.10.mos	AtoD	butyrate_20180612	Lysine	9369060	136	1.45158639180451e-05
IA66.10.mos	Bcd	butyrate_20180612	Pyruvate	9369060	1594	0.00017013446386297
IA66.10.mos	Buk	butyrate_20180612	Pyruvate	9369060	880	9.39261782932333e-05
IA66.10.mos	But	butyrate_20180612	Pyruvate	9369060	927	9.894269008844e-05
IA66.10.mos	Cro	butyrate_20180612	Pyruvate	9369060	430	4.58957462114663e-05
IA66.10.mos	EtfA	butyrate_20180612	Pyruvate	9369060	1259	0.000134378475535433
IA66.10.mos	EtfB	butyrate_20180612	Pyruvate	9369060	985	0.000105133279112312
IA66.10.mos	GctA	butyrate_20180612	Glutarate	9369060	78	8.32527489417295e-06
IA66.10.mos	GctB	butyrate_20180612	Glutarate	9369060	85	9.07241494877821e-06
IA66.10.mos	Hbd	butyrate_20180612	Pyruvate	9369060	449	4.7923697788252e-05
IA66.10.mos	HgCoAd_A	butyrate_20180612	Glutarate	9369060	210	2.24142016381579e-05
IA66.10.mos	HgCoAd_B	butyrate_20180612	Glutarate	9369060	166	1.77178927234963e-05
IA66.10.mos	HgCoAd_C	butyrate_20180612	Glutarate	9369060	87	9.28588353580829e-06
IA66.10.mos	HgdA	butyrate_20180612	Glutarate	9369060	181	1.93189071262218e-05
IA66.10.mos	HgdB	butyrate_20180612	Glutarate	9369060	1707	0.00018219543903017
IA66.10.mos	Kal	butyrate_20180612	Lysine	9369060	125	1.33417866893797e-05
IA66.10.mos	KamA	butyrate_20180612	Lysine	9369060	556	5.9344267194361e-05
IA66.10.mos	KamD	butyrate_20180612	Lysine	9369060	651	6.94840250782896e-05
