SampleID	Cytokine	value	region
IA66.d0	GM.CSF	5.77	Plasma
KF35.d0	GM.CSF	14.88	Plasma
KG04.d0	GM.CSF	6.69	Plasma
KG56.d0	GM.CSF	2.64	Plasma
KT85.d0	GM.CSF	4.33	Plasma
KV82.d0	GM.CSF	1.74	Plasma
IA66.d35	GM.CSF	0.00891605695808532	Plasma
KF35.d35	GM.CSF	6.66	Plasma
KG04.d35	GM.CSF	0.00432715185502409	Plasma
KG56.d35	GM.CSF	0.202197779659382	Plasma
KT85.d35	GM.CSF	0.147992123316618	Plasma
KV82.d35	GM.CSF	0.00154503732117326	Plasma
IA66.d125	GM.CSF	0.255684278161474	Plasma
KF35.d97	GM.CSF	15.85	Plasma
KG04.d125	GM.CSF	0.09170402925869	Plasma
KG56.d125	GM.CSF	0.0452479051897253	Plasma
KT85.d125	GM.CSF	0.17884316767859	Plasma
KV82.d125	GM.CSF	0.0146583803465902	Plasma
IA66.10.mos	GM.CSF	2.94	Plasma
KF35.10.mos	GM.CSF	21.58	Plasma
KG04.10.mos	GM.CSF	3.59	Plasma
KG56.10.mos	GM.CSF	1.58	Plasma
KT85.10.mos	GM.CSF	7.29	Plasma
KV82.10.mos	GM.CSF	0.00675095099292956	Plasma
MRN	GM.CSF	23.17	Plasma
M87	GM.CSF	35.7	Plasma
DF59	GM.CSF	2.94	Plasma
DERX	GM.CSF	6.08	Plasma
JAL	GM.CSF	10.6	Plasma
ZF36	GM.CSF	112.15	Plasma
M1522	GM.CSF	0.272307970852711	Plasma
A6V084	GM.CSF	17.65	Plasma
MA5	GM.CSF	31.64	Plasma
MLB	GM.CSF	202.34	Plasma
DECG	GM.CSF	3.37	Plasma
M1520	GM.CSF	12.11	Plasma
ZE88	GM.CSF	50.21	Plasma
DF11	GM.CSF	4.85	Plasma
M47	GM.CSF	145.62	Plasma
X35	GM.CSF	0.0762499149495079	Plasma
R32	GM.CSF	72.92	Plasma
T19	GM.CSF	0.00506168214061352	Plasma
PH0692	GM.CSF	0.192825671478856	Plasma
Animal.99R1458	GM.CSF	0.119743171044792	Plasma
Animal.98P009	GM.CSF	0.289550559233606	Plasma
Animal.1087	GM.CSF	0.0459669390463378	Plasma
M1418	GM.CSF	0.155940727915539	Plasma
RQ6713	GM.CSF	0.0131210350964205	Plasma
RQ6687	GM.CSF	0.279270993653399	Plasma
T75	GM.CSF	3.52	Plasma
X19	GM.CSF	0.33	Plasma
T51	GM.CSF	0.188978293627166	Plasma
IA66.7.mos	GM.CSF	0.295199067667421	Plasma
KF35.7.mos	GM.CSF	0.6	Plasma
KG04.7.mos	GM.CSF	0.03215235534816	Plasma
KG56.7.mos	GM.CSF	0.0287117358448973	Plasma
KT85.7.mos	GM.CSF	0.0777981672215984	Plasma
JL80	GM.CSF	5.32	Plasma
JT67	GM.CSF	9.66	Plasma
KB32	GM.CSF	24.82	Plasma
KC93	GM.CSF	12.66	Plasma
KF04	GM.CSF	30.68	Plasma
KI63	GM.CSF	12.29	Plasma
KA87	GM.CSF	2.08	Plasma
KC07	GM.CSF	0.0450445290588697	Plasma
JF27	GM.CSF	10.04	Plasma
JF82	GM.CSF	0.193269794077235	Plasma
JM03	GM.CSF	0.26861232642716	Plasma
JN22	GM.CSF	12.47	Plasma
JP70	GM.CSF	0.090067633643015	Plasma
JT22	GM.CSF	8.89	Plasma
JT94	GM.CSF	90.93	Plasma
JI14	GM.CSF	8.11	Plasma
JJ55	GM.CSF	15.57	Plasma
CK62	GM.CSF	7.53	Plasma
DD23	GM.CSF	13.03	Plasma
EF54	GM.CSF	0.164235583428682	Plasma
DF53	GM.CSF	30.02	Plasma
CM82	GM.CSF	15.93	Plasma
CR98	GM.CSF	16.65	Plasma
DB57	GM.CSF	14.31	Plasma
CE15	GM.CSF	20.17	Plasma
DB59	GM.CSF	27.69	Plasma
IK28	GM.CSF	0.211515225079121	Plasma
EB25	GM.CSF	5.32	Plasma
EA49	GM.CSF	2.76	Plasma
EC72	GM.CSF	15.93	Plasma
M148.d0	GM.CSF	10.98	Plasma
P081.d0	GM.CSF	14.13	Plasma
M148.d31	GM.CSF	223.69	Plasma
P081.d31	GM.CSF	47.72	Plasma
AH74.d48	GM.CSF	23.28	Plasma
DI57.d48	GM.CSF	17.72	Plasma
T657.d48	GM.CSF	34.95	Plasma
P519.d48	GM.CSF	17.72	Plasma
AH74.d0	GM.CSF	9.66	Plasma
DI57.d0	GM.CSF	13.03	Plasma
T657.d0	GM.CSF	11.55	Plasma
P519.d0	GM.CSF	11.92	Plasma
IA66.d0	IFN.gamma	9.04	Plasma
KF35.d0	IFN.gamma	5.61	Plasma
KG04.d0	IFN.gamma	1.83	Plasma
KG56.d0	IFN.gamma	1.78	Plasma
KT85.d0	IFN.gamma	0.14	Plasma
KV82.d0	IFN.gamma	0.0397062382990402	Plasma
IA66.d35	IFN.gamma	1	Plasma
KF35.d35	IFN.gamma	4.51	Plasma
KG04.d35	IFN.gamma	0.0584666145366629	Plasma
KG56.d35	IFN.gamma	0.0428279700960039	Plasma
KT85.d35	IFN.gamma	1.73	Plasma
KV82.d35	IFN.gamma	0.0970881789917765	Plasma
IA66.d125	IFN.gamma	2.42	Plasma
KF35.d97	IFN.gamma	3.09	Plasma
KG04.d125	IFN.gamma	0.0310681967839325	Plasma
KG56.d125	IFN.gamma	0.0450722956093656	Plasma
KT85.d125	IFN.gamma	0.138575029005974	Plasma
KV82.d125	IFN.gamma	0.0858594080757184	Plasma
IA66.10.mos	IFN.gamma	16.58	Plasma
KF35.10.mos	IFN.gamma	6.04	Plasma
KG04.10.mos	IFN.gamma	0.119739335523142	Plasma
KG56.10.mos	IFN.gamma	0.133112649734988	Plasma
KT85.10.mos	IFN.gamma	2.67	Plasma
KV82.10.mos	IFN.gamma	0.0479922651764072	Plasma
MRN	IFN.gamma	1.58	Plasma
M87	IFN.gamma	5.18	Plasma
DF59	IFN.gamma	0.019781720360698	Plasma
DERX	IFN.gamma	2.89	Plasma
JAL	IFN.gamma	1.69	Plasma
ZF36	IFN.gamma	20.89	Plasma
M1522	IFN.gamma	8.37	Plasma
A6V084	IFN.gamma	5.33	Plasma
MA5	IFN.gamma	3.26	Plasma
MLB	IFN.gamma	30.34	Plasma
DECG	IFN.gamma	0.0319055072910539	Plasma
M1520	IFN.gamma	3.05	Plasma
ZE88	IFN.gamma	7.73	Plasma
DF11	IFN.gamma	0.0412874462721046	Plasma
M47	IFN.gamma	13.48	Plasma
X35	IFN.gamma	0.00323279936130764	Plasma
R32	IFN.gamma	6.34	Plasma
T19	IFN.gamma	0.0336676687022775	Plasma
PH0692	IFN.gamma	0.0840179505960686	Plasma
Animal.99R1458	IFN.gamma	0.0566187702581685	Plasma
Animal.98P009	IFN.gamma	0.109859959107343	Plasma
Animal.1087	IFN.gamma	0.0114899722661686	Plasma
M1418	IFN.gamma	0.0125430549983803	Plasma
RQ6713	IFN.gamma	1.35	Plasma
RQ6687	IFN.gamma	0.0897411841654779	Plasma
T75	IFN.gamma	13.25	Plasma
X19	IFN.gamma	0.14	Plasma
T51	IFN.gamma	4.44	Plasma
IA66.7.mos	IFN.gamma	10.8	Plasma
KF35.7.mos	IFN.gamma	4.1	Plasma
KG04.7.mos	IFN.gamma	0.0759443649658426	Plasma
KG56.7.mos	IFN.gamma	0.00894348945421123	Plasma
KT85.7.mos	IFN.gamma	2.78	Plasma
JL80	IFN.gamma	25.9	Plasma
JT67	IFN.gamma	1.63	Plasma
KB32	IFN.gamma	6.57	Plasma
KC93	IFN.gamma	2.99	Plasma
KF04	IFN.gamma	7.52	Plasma
KI63	IFN.gamma	2.81	Plasma
KA87	IFN.gamma	10.89	Plasma
KC07	IFN.gamma	0.0236781365072746	Plasma
JF27	IFN.gamma	0.78	Plasma
JF82	IFN.gamma	0.0583218732865183	Plasma
JM03	IFN.gamma	0.0360086437820396	Plasma
JN22	IFN.gamma	0.127255059973101	Plasma
JP70	IFN.gamma	0.0813594208332134	Plasma
JT22	IFN.gamma	12.26	Plasma
JT94	IFN.gamma	23.79	Plasma
JI14	IFN.gamma	2.23	Plasma
JJ55	IFN.gamma	3.28	Plasma
CK62	IFN.gamma	5.45	Plasma
DD23	IFN.gamma	2.58	Plasma
EF54	IFN.gamma	0.132398183572698	Plasma
DF53	IFN.gamma	8.74	Plasma
CM82	IFN.gamma	2.93	Plasma
CR98	IFN.gamma	3.56	Plasma
DB57	IFN.gamma	3.79	Plasma
CE15	IFN.gamma	4.88	Plasma
DB59	IFN.gamma	14.48	Plasma
IK28	IFN.gamma	0.131999762002242	Plasma
EB25	IFN.gamma	0.106395496162087	Plasma
EA49	IFN.gamma	0.15	Plasma
EC72	IFN.gamma	6.8	Plasma
M148.d0	IFN.gamma	1.87	Plasma
P081.d0	IFN.gamma	15.02	Plasma
M148.d31	IFN.gamma	65.01	Plasma
P081.d31	IFN.gamma	20.56	Plasma
AH74.d48	IFN.gamma	3.62	Plasma
DI57.d48	IFN.gamma	37.79	Plasma
T657.d48	IFN.gamma	12.91	Plasma
P519.d48	IFN.gamma	0.91	Plasma
AH74.d0	IFN.gamma	1.87	Plasma
DI57.d0	IFN.gamma	52.11	Plasma
T657.d0	IFN.gamma	0.113073559326646	Plasma
P519.d0	IFN.gamma	5.11	Plasma
IA66.d0	IL.1.beta	3.42	Plasma
KF35.d0	IL.1.beta	5.81	Plasma
KG04.d0	IL.1.beta	1.62	Plasma
KG56.d0	IL.1.beta	1.21	Plasma
KT85.d0	IL.1.beta	0.57	Plasma
KV82.d0	IL.1.beta	0.9	Plasma
IA66.d35	IL.1.beta	11.47	Plasma
KF35.d35	IL.1.beta	17.3	Plasma
KG04.d35	IL.1.beta	7.67	Plasma
KG56.d35	IL.1.beta	7.35	Plasma
KT85.d35	IL.1.beta	6.61	Plasma
KV82.d35	IL.1.beta	4.22	Plasma
IA66.d125	IL.1.beta	7.67	Plasma
KF35.d97	IL.1.beta	17.51	Plasma
KG04.d125	IL.1.beta	5.75	Plasma
KG56.d125	IL.1.beta	5.31	Plasma
KT85.d125	IL.1.beta	3.67	Plasma
KV82.d125	IL.1.beta	4.66	Plasma
IA66.10.mos	IL.1.beta	12.32	Plasma
KF35.10.mos	IL.1.beta	21.21	Plasma
KG04.10.mos	IL.1.beta	10.25	Plasma
KG56.10.mos	IL.1.beta	13.08	Plasma
KT85.10.mos	IL.1.beta	12.83	Plasma
KV82.10.mos	IL.1.beta	2.54	Plasma
MRN	IL.1.beta	11.8	Plasma
M87	IL.1.beta	27.7	Plasma
DF59	IL.1.beta	4.52	Plasma
DERX	IL.1.beta	11.54	Plasma
JAL	IL.1.beta	11.03	Plasma
ZF36	IL.1.beta	77.66	Plasma
M1522	IL.1.beta	7.05	Plasma
A6V084	IL.1.beta	18.11	Plasma
MA5	IL.1.beta	21.58	Plasma
MLB	IL.1.beta	135.41	Plasma
DECG	IL.1.beta	2.86	Plasma
M1520	IL.1.beta	13.72	Plasma
ZE88	IL.1.beta	34.14	Plasma
DF11	IL.1.beta	5.94	Plasma
M47	IL.1.beta	92.33	Plasma
X35	IL.1.beta	2.89	Plasma
R32	IL.1.beta	45.79	Plasma
T19	IL.1.beta	2.44	Plasma
PH0692	IL.1.beta	4.01	Plasma
Animal.99R1458	IL.1.beta	3.63	Plasma
Animal.98P009	IL.1.beta	8.52	Plasma
Animal.1087	IL.1.beta	3.78	Plasma
M1418	IL.1.beta	4.95	Plasma
RQ6713	IL.1.beta	3.63	Plasma
RQ6687	IL.1.beta	5.64	Plasma
T75	IL.1.beta	1.55	Plasma
X19	IL.1.beta	9.46	Plasma
T51	IL.1.beta	0.451950490242895	Plasma
IA66.7.mos	IL.1.beta	5.94	Plasma
KF35.7.mos	IL.1.beta	8.93	Plasma
KG04.7.mos	IL.1.beta	5.66	Plasma
KG56.7.mos	IL.1.beta	9.46	Plasma
KT85.7.mos	IL.1.beta	6.64	Plasma
JL80	IL.1.beta	8.46	Plasma
JT67	IL.1.beta	3.69	Plasma
KB32	IL.1.beta	8.95	Plasma
KC93	IL.1.beta	5.34	Plasma
KF04	IL.1.beta	11.18	Plasma
KI63	IL.1.beta	3.5	Plasma
KA87	IL.1.beta	3.55	Plasma
KC07	IL.1.beta	0.382921476203716	Plasma
JF27	IL.1.beta	1.64	Plasma
JF82	IL.1.beta	0.61	Plasma
JM03	IL.1.beta	0.540290889498894	Plasma
JN22	IL.1.beta	1.04	Plasma
JP70	IL.1.beta	0.562015667729909	Plasma
JT22	IL.1.beta	6.63	Plasma
JT94	IL.1.beta	26.63	Plasma
JI14	IL.1.beta	3.22	Plasma
JJ55	IL.1.beta	5.3	Plasma
CK62	IL.1.beta	4.46	Plasma
DD23	IL.1.beta	4.55	Plasma
EF54	IL.1.beta	0.529587792676125	Plasma
DF53	IL.1.beta	12.18	Plasma
CM82	IL.1.beta	5.34	Plasma
CR98	IL.1.beta	6.54	Plasma
DB57	IL.1.beta	5.52	Plasma
CE15	IL.1.beta	5.99	Plasma
DB59	IL.1.beta	12.74	Plasma
IK28	IL.1.beta	1.52	Plasma
EB25	IL.1.beta	2.23	Plasma
EA49	IL.1.beta	1.41	Plasma
EC72	IL.1.beta	6.29	Plasma
M148.d0	IL.1.beta	4.24	Plasma
P081.d0	IL.1.beta	6.08	Plasma
M148.d31	IL.1.beta	87.3	Plasma
P081.d31	IL.1.beta	19.46	Plasma
AH74.d48	IL.1.beta	8.74	Plasma
