# Constructed from biom file
#OTU.ID	IA66.10.mos	IA66.1yr	IA66.20mo	IA66.d0	IA66.d125	IA66.d35	IA66.pre	KF35.10.mos	KF35.1yr	KF35.d0	KF35.d35	KF35.pre	KG04.10.mos	KG04.19mo	KG04.1yr	KG04.d0	KG04.d125	KG04.d35	KG04.pre	KG56.10.mos	KG56.1yr	KG56.d0	KG56.d125	KG56.d35	KG56.pre	KT85.10.mos	KT85.1yr	KT85.20mo	KT85.d0	KT85.d125	KT85.pre	KV82.10.mos	KV82.19mo	KV82.1yr	KV82.d0	KV82.d125	KV82.d35	KV82.pre	Consensus.Lineage
2	12396	9979	2300	5568	5328	5830	11788	7462	7932	4614	4056	10273	9448	9966	11296	5013	5461	4635	9705	7733	10696	5521	5855	5718	11679	12234	9007	11326	7236	5510	9876	8168	9116	10971	7011	3515	4524	11715	k__Bacteria; p__; c__; o__; f__; g__; s__
7	67	31	6	20	21	28	57	33	47	23	14	49	45	46	64	28	15	29	43	26	65	18	28	26	76	61	31	48	19	27	42	53	41	52	18	19	16	76	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Azorhizobium; s__caulinodans
9	140	219	57	41	26	31	60	40	20	36	6	86	54	32	38	82	56	42	101	101	58	69	62	82	126	101	80	154	77	64	127	45	33	28	73	33	10	160	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Erwiniaceae; g__Buchnera; s__aphidicola
10	0	1	0	0	0	1	1	2	0	0	2	3	0	0	0	0	0	0	2	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Cellvibrionales; f__Cellvibrionaceae; g__Cellvibrio; s__
11	8	7	6	9	10	6	10	5	4	3	2	20	8	7	13	4	8	6	19	0	10	10	8	15	26	22	4	10	4	13	8	8	10	11	12	7	5	17	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Micrococcales; f__Cellulomonadaceae; g__Cellulomonas; s__gilvus
13	1	0	1	2	8	5	2	0	1	1	3	1	0	2	0	2	1	0	1	0	3	0	0	1	1	5	2	6	1	1	7	3	3	3	2	1	4	1	k__Bacteria; p__Dictyoglomi; c__Dictyoglomia; o__Dictyoglomales; f__Dictyoglomaceae; g__Dictyoglomus; s__
14	26	23	2	5	5	3	12	2	6	1	2	7	9	10	4	4	4	4	15	4	3	8	4	3	8	13	5	12	6	1	17	3	2	7	7	4	2	9	k__Bacteria; p__Dictyoglomi; c__Dictyoglomia; o__Dictyoglomales; f__Dictyoglomaceae; g__Dictyoglomus; s__thermophilum
18	0	1	1	0	1	1	1	0	1	0	0	0	0	4	0	1	0	0	1	0	0	1	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	2	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfuromonadales; f__Desulfuromonadaceae; g__Pelobacter; s__
19	43	38	17	53	49	44	138	41	60	41	54	101	91	110	129	25	48	29	55	69	96	42	47	43	71	87	62	50	46	33	49	121	90	98	48	32	76	92	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfuromonadales; f__Desulfuromonadaceae; g__Pelobacter; s__carbinolicus
20	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Phenylobacterium; s__
22	59	130	10	34	20	7	45	78	54	53	34	72	58	70	44	62	47	30	42	51	57	34	23	18	62	88	87	82	42	23	81	18	72	32	40	29	60	39	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Shewanellaceae; g__Shewanella; s__
24	5	28	0	1	1	4	0	1	5	1	0	0	0	4	3	0	1	1	11	7	1	2	2	0	0	2	1	7	0	1	1	0	1	1	1	2	0	0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Shewanellaceae; g__Shewanella; s__putrefaciens
29	36	6	2	14	26	8	42	18	24	2	4	7	20	27	36	21	12	12	26	12	17	12	17	9	35	23	16	22	4	9	38	16	14	11	27	4	1	56	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__; g__; s__
31	24	30	2	7	8	8	70	13	11	3	0	7	12	15	12	6	8	7	22	8	18	5	11	13	27	27	19	16	8	9	15	12	7	30	7	0	6	19	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__Myxococcaceae; g__; s__
32	214	85	15	71	73	112	192	81	79	28	20	77	120	115	147	56	68	45	133	54	127	54	76	70	102	147	118	127	53	62	111	103	68	142	70	39	18	177	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__Myxococcaceae; g__Myxococcus; s__
33	76	38	7	48	37	31	60	27	60	21	32	64	68	42	50	31	32	22	69	32	50	43	43	40	77	82	68	66	48	28	62	45	53	89	44	21	37	68	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__Myxococcaceae; g__Myxococcus; s__fulvus
34	70	48	7	18	33	28	45	25	26	6	3	20	35	24	36	15	12	8	35	26	19	12	17	19	28	58	26	34	12	37	35	26	16	27	16	6	5	36	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__Myxococcaceae; g__Myxococcus; s__xanthus
35	6	26	0	6	0	3	4	4	1	1	0	7	5	1	2	3	1	1	6	7	3	3	2	4	3	4	0	5	1	2	5	4	2	4	12	2	2	16	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__Myxococcaceae; g__Myxococcus; s__macrosporus
39	116	27	7	31	29	31	53	27	41	13	12	36	39	39	54	32	35	18	56	28	64	34	30	27	82	75	38	56	17	23	64	34	26	39	43	13	13	73	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__Archangiaceae; g__; s__
41	96	68	9	23	26	23	70	21	37	11	6	34	36	22	36	19	16	13	60	24	34	23	31	16	58	52	50	33	15	15	60	28	21	36	29	9	9	51	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__Archangiaceae; g__Stigmatella; s__aurantiaca
43	90	39	11	46	36	49	99	25	48	12	15	32	59	63	41	16	34	23	63	35	54	36	44	33	75	81	51	60	26	34	49	49	31	81	38	12	20	84	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__Archangiaceae; g__Cystobacter; s__fuscus
48	120	58	18	48	50	54	84	41	53	20	20	65	63	66	78	29	37	19	91	42	72	28	37	31	72	98	52	80	20	43	55	43	29	100	71	15	15	96	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__Archangiaceae; g__Archangium; s__gephyra
49	3	4	1	22	5	2	101	1	10	3	0	2	5	3	4	16	10	4	9	2	4	5	5	3	3	40	2	4	4	2	4	5	1	14	0	0	0	2	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__Polyangiaceae; g__; s__
52	66	51	11	39	39	40	74	31	44	19	15	60	62	38	67	54	25	24	85	23	51	33	29	40	69	71	46	42	24	37	79	42	37	81	39	18	15	68	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__Polyangiaceae; g__Chondromyces; s__crocatus
56	340	156	34	158	117	113	331	127	168	54	52	167	211	142	248	96	143	88	262	133	229	119	186	148	328	261	169	248	95	151	250	203	121	270	218	26	59	249	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__Polyangiaceae; g__Sorangium; s__cellulosum
63	106	38	14	27	14	30	60	19	35	19	18	48	41	46	56	15	31	11	41	40	68	27	33	40	58	60	44	71	32	34	51	20	37	25	48	17	13	63	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Neisseriales; f__Neisseriaceae; g__Vitreoscilla; s__filiformis
68	22	12	3	7	15	4	17	11	20	12	6	26	22	13	13	4	8	2	18	12	11	10	18	12	34	20	12	13	10	5	23	9	13	17	13	6	2	26	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Lysobacter; s__
69	90	19	3	23	25	38	64	31	25	12	13	37	44	32	46	20	33	15	35	29	63	25	25	27	56	66	33	85	20	37	35	63	22	52	47	16	4	87	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Lysobacter; s__enzymogenes
72	6	33	16	4	8	8	5	10	9	12	17	20	5	22	16	6	10	10	20	8	12	17	5	9	13	13	19	13	7	6	21	10	31	19	11	24	31	18	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Neisseriales; f__Neisseriaceae; g__Simonsiella; s__muelleri
75	16	24	5	19	16	13	32	12	17	8	7	20	17	18	19	21	20	10	33	20	27	10	17	11	34	22	20	22	12	18	26	20	16	31	12	8	2	29	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Caulobacter; s__
81	2	0	0	2	3	6	1	1	4	0	0	5	2	1	2	0	2	2	4	1	1	3	4	3	2	0	1	0	1	1	1	1	2	0	2	2	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Hyphomicrobium; s__
85	2	6	2	9	3	0	2	2	3	5	1	2	1	3	2	6	8	0	2	0	6	8	18	2	4	3	1	2	2	3	12	3	7	3	11	4	2	2	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Hyphomonadaceae; g__Hyphomonas; s__
104	45	39	28	35	13	8	37	12	7	27	15	44	22	25	11	12	6	13	29	41	33	11	17	13	32	52	12	27	15	14	16	18	27	13	12	26	15	21	k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cyclobacteriaceae; g__Cyclobacterium; s__marinum
105	99	3	11	22	16	31	45	23	67	11	9	8	13	60	74	21	33	21	27	10	55	39	24	24	33	78	47	73	25	28	16	58	11	77	36	7	8	37	k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__Runella; s__
106	76	60	26	39	27	26	132	77	62	48	42	112	103	131	118	55	58	41	53	80	117	56	38	63	67	104	76	76	81	25	50	98	75	59	52	34	76	101	k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__Runella; s__slithyformis
107	0	1	2	7	0	4	3	9	5	2	0	3	2	12	2	7	3	1	1	1	0	4	0	1	1	4	2	16	2	2	3	3	3	2	1	6	3	8	k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__Spirosoma; s__
112	29	7	4	6	15	25	23	7	14	4	5	13	11	5	15	10	9	7	19	5	14	11	14	12	18	11	12	26	9	21	11	5	15	19	9	0	1	16	k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Planctomycetales; f__; g__; s__
113	4	3	0	0	4	11	10	0	7	1	0	2	0	6	8	3	2	6	15	0	1	3	7	3	5	3	2	12	1	4	2	0	3	5	0	2	2	3	k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Planctomycetales; f__Gemmataceae; g__Gemmata; s__
114	77	31	7	18	37	62	67	26	43	17	14	30	38	50	61	16	40	16	53	42	64	27	31	49	62	58	41	49	23	32	50	40	39	61	45	21	13	56	k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Planctomycetales; f__Gemmataceae; g__Gemmata; s__obscuriglobus
119	57	56	3	21	18	15	38	12	21	17	13	23	38	24	38	11	23	10	69	12	38	13	11	27	38	48	28	37	15	11	22	30	24	35	12	3	11	34	k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Planctomycetales; f__Planctomycetaceae; g__Rubinisphaera; s__brasiliensis
120	24	12	8	9	10	29	21	13	16	9	5	11	23	34	18	8	14	9	24	9	16	12	23	17	32	26	10	19	19	14	13	15	39	14	8	19	10	16	k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Planctomycetales; f__Planctomycetaceae; g__Planctopirus; s__limnophila
125	54	11	1	10	28	25	50	3	16	8	13	21	20	23	33	2	9	15	24	15	26	14	12	10	25	23	9	23	9	17	20	20	13	36	12	6	6	28	k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Planctomycetales; f__Planctomycetaceae; g__Pirellula; s__staleyi
126	30	2	8	4	10	12	16	0	13	2	0	9	2	4	10	2	2	5	17	4	2	7	4	10	10	4	6	26	8	13	14	0	1	2	2	2	0	6	k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Planctomycetales; f__Planctomycetaceae; g__; s__
128	64	15	9	21	27	25	40	21	45	13	7	29	37	36	41	23	22	19	41	15	57	21	34	34	47	56	42	47	9	38	31	37	38	44	35	12	11	49	k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Planctomycetales; f__Isosphaeraceae; g__Isosphaera; s__pallida
133	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Methylocystaceae; g__Methylocystis; s__
136	0	0	3	10	12	6	11	2	3	8	3	3	1	3	8	28	4	9	10	5	3	13	11	12	22	7	11	7	7	5	30	2	3	6	19	2	0	4	k__Bacteria; p__Spirochaetes; c__Spirochaetia; o__Spirochaetales; f__; g__; s__
137	3	5	12	49	50	78	75	14	11	40	17	23	13	21	43	83	24	29	28	7	29	60	84	66	56	38	37	43	42	45	53	19	9	17	52	4	4	37	k__Bacteria; p__Spirochaetes; c__Spirochaetia; o__Spirochaetales; f__Spirochaetaceae; g__; s__
138	81	59	15	31	32	28	67	28	37	9	12	43	53	44	84	30	32	28	46	36	52	37	22	35	75	63	53	77	34	25	68	27	24	32	31	7	7	68	k__Bacteria; p__Spirochaetes; c__Spirochaetia; o__Spirochaetales; f__Borreliaceae; g__Borrelia; s__
139	8	3	0	0	0	4	0	2	2	3	1	2	3	4	7	1	3	2	0	1	2	3	0	0	9	8	7	5	2	6	8	2	2	2	1	0	0	13	k__Bacteria; p__Spirochaetes; c__Spirochaetia; o__Spirochaetales; f__Borreliaceae; g__Borreliella; s__burgdorferi
140	4	8	0	1	0	2	1	2	1	5	0	2	3	3	0	1	2	3	9	8	5	6	1	4	7	10	3	9	8	3	10	0	3	3	6	3	1	6	k__Bacteria; p__Spirochaetes; c__Spirochaetia; o__Spirochaetales; f__Borreliaceae; g__Borrelia; s__hermsii
141	0	1	0	0	3	1	0	0	5	0	2	0	2	1	0	2	0	1	0	0	2	2	0	0	3	6	0	0	1	1	1	4	0	0	0	1	0	2	k__Bacteria; p__Spirochaetes; c__Spirochaetia; o__Spirochaetales; f__Borreliaceae; g__Borrelia; s__parkeri
142	19	0	0	0	0	0	2	2	0	1	2	3	1	1	2	1	0	1	3	3	0	1	1	2	2	13	1	5	1	2	6	0	3	0	0	0	0	0	k__Bacteria; p__Spirochaetes; c__Spirochaetia; o__Spirochaetales; f__Borreliaceae; g__Borrelia; s__turicatae
143	4	1	2	1	0	1	2	0	1	1	0	4	2	1	1	1	3	2	7	4	5	0	1	9	18	3	5	22	2	5	14	1	2	0	4	0	1	9	k__Bacteria; p__Spirochaetes; c__Spirochaetia; o__Spirochaetales; f__Borreliaceae; g__Borrelia; s__anserina
144	24	1	3	5	4	3	6	1	4	0	1	14	15	4	0	8	2	4	5	9	8	9	5	8	21	7	10	12	10	2	6	5	0	11	6	3	3	3	k__Bacteria; p__Spirochaetes; c__Spirochaetia; o__Spirochaetales; f__Borreliaceae; g__Borrelia; s__coriaceae
154	188	41	29	98	45	123	156	62	76	58	55	170	95	92	124	79	93	78	120	117	105	90	134	108	163	188	83	130	83	92	115	105	90	115	95	47	20	124	k__Bacteria; p__Spirochaetes; c__Spirochaetia; o__Spirochaetales; f__Spirochaetaceae; g__Spirochaeta; s__thermophila
157	67	47	76	187	179	288	100	55	66	132	110	93	54	93	180	273	226	203	151	78	118	445	499	318	225	260	204	245	189	180	266	36	69	98	258	14	32	126	k__Bacteria; p__Spirochaetes; c__Spirochaetia; o__Spirochaetales; f__Spirochaetaceae; g__Treponema; s__
158	81	71	52	78	105	117	129	111	81	85	76	116	109	107	92	154	67	80	95	99	110	145	131	134	156	163	90	100	102	58	128	70	143	75	117	73	44	144	k__Bacteria; p__Spirochaetes; c__Spirochaetia; o__Spirochaetales; f__Spirochaetaceae; g__Treponema; s__denticola
159	30	636	436	41	235	35	119	54	143	22	53	114	29	46	184	29	212	164	219	52	85	86	159	85	72	35	57	81	26	27	151	16	75	55	52	682	12	98	k__Bacteria; p__Spirochaetes; c__Spirochaetia; o__Brachyspirales; f__Brachyspiraceae; g__Brachyspira; s__hyodysenteriae
160	0	0	0	2	0	0	0	0	0	0	0	0	0	9	1	25	8	1	0	4	0	18	9	7	10	6	3	1	0	3	0	0	0	0	25	0	0	0	k__Bacteria; p__Spirochaetes; c__Spirochaetia; o__Spirochaetales; f__Spirochaetaceae; g__Treponema; s__pallidum
167	3399	526	1550	29568	3860	81491	22403	2406	55976	55626	2749	21338	719	3658	24364	5731	13965	12674	24032	2385	68229	3774	5639	7981	3171	4041	22803	7573	39026	19084	22981	931	8053	8153	12662	323	802	4285	k__Bacteria; p__Spirochaetes; c__Spirochaetia; o__Spirochaetales; f__Spirochaetaceae; g__Treponema; s__succinifaciens
170	0	10	2	5	3	1	2	0	0	2	0	0	4	1	7	2	3	1	0	2	0	4	6	6	1	0	12	3	0	2	2	5	1	4	1	4	0	8	k__Bacteria; p__Spirochaetes; c__Spirochaetia; o__Brachyspirales; f__Leptospiraceae; g__; s__
171	2	3	2	2	5	2	3	2	3	3	7	7	6	6	14	11	11	7	7	1	9	5	19	9	1	2	9	14	2	8	6	13	4	11	8	0	0	13	k__Bacteria; p__Spirochaetes; c__Spirochaetia; o__Brachyspirales; f__Leptospiraceae; g__Leptospira; s__
172	55	27	15	41	46	41	85	44	33	22	12	38	36	44	69	55	36	30	52	31	69	54	48	44	43	104	37	53	24	53	54	58	48	66	61	23	15	54	k__Bacteria; p__Spirochaetes; c__Spirochaetia; o__Brachyspirales; f__Leptospiraceae; g__Leptospira; s__biflexa
173	11	14	2	5	7	6	11	15	3	3	4	13	11	3	13	6	6	4	8	9	7	2	6	8	10	23	26	16	5	5	18	15	10	7	5	4	6	16	k__Bacteria; p__Spirochaetes; c__Spirochaetia; o__Brachyspirales; f__Leptospiraceae; g__Leptospira; s__interrogans
174	5	5	6	2	3	7	7	6	25	5	3	10	4	1	5	7	8	1	22	1	10	4	9	1	10	14	5	6	3	9	5	4	14	10	7	4	3	5	k__Bacteria; p__Spirochaetes; c__Spirochaetia; o__Brachyspirales; f__Leptospiraceae; g__Leptospira; s__borgpetersenii
179	19	7	1	28	27	11	65	23	28	8	10	31	16	21	21	12	5	12	9	37	46	11	11	8	15	41	39	38	9	16	24	17	6	46	7	10	5	28	k__Bacteria; p__Nitrospirae; c__Nitrospira; o__Nitrospirales; f__Nitrospiraceae; g__Leptospirillum; s__
180	3	14	0	4	5	19	11	13	15	5	2	13	7	9	2	4	1	9	15	6	8	7	0	3	6	10	13	18	3	9	6	5	5	17	14	9	6	24	k__Bacteria; p__Nitrospirae; c__Nitrospira; o__Nitrospirales; f__Nitrospiraceae; g__Leptospirillum; s__ferrooxidans
191	207	82	24	85	112	99	203	100	103	25	29	124	146	97	130	51	67	62	177	82	149	65	93	95	178	114	107	140	52	90	136	138	77	151	84	18	62	139	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae; g__Azospirillum; s__
192	111	77	15	42	49	41	103	38	69	31	10	62	80	65	79	32	39	29	80	50	61	48	44	46	64	79	93	79	36	43	76	59	33	109	45	19	14	90	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae; g__Azospirillum; s__brasilense
193	150	142	15	44	45	53	117	60	82	30	24	76	70	52	116	37	32	30	71	38	105	32	54	43	103	101	90	87	38	43	88	58	41	77	42	17	15	105	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae; g__Azospirillum; s__lipoferum
194	102	651	630	68	107	247	117	56	41	380	20	137	49	77	118	70	55	87	240	119	140	252	88	123	224	174	52	124	258	79	452	68	180	69	100	197	51	157	k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales; f__Campylobacteraceae; g__Campylobacter; s__
195	185	379	368	50	211	138	145	101	96	116	45	138	145	124	210	63	79	81	165	141	130	71	79	136	222	209	149	209	132	140	253	186	67	235	113	115	43	248	k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales; f__Campylobacteraceae; g__Campylobacter; s__coli
196	8	161	137	12	17	51	30	22	11	100	24	44	9	8	24	19	10	23	70	20	33	63	25	25	37	38	10	23	41	25	78	16	10	15	23	52	3	39	k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales; f__Campylobacteraceae; g__Campylobacter; s__fetus
197	83	132	77	127	88	61	109	89	103	141	28	155	85	107	47	26	42	135	107	165	164	77	89	92	315	91	41	140	318	30	268	121	280	85	67	128	168	137	k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales; f__Campylobacteraceae; g__Campylobacter; s__jejuni
198	11	185	115	8	16	98	41	28	13	180	5	40	18	12	21	28	27	21	113	25	32	70	28	36	45	36	23	35	78	13	90	16	28	21	30	52	16	57	k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales; f__Campylobacteraceae; g__Campylobacter; s__hyointestinalis
